Application ID,mohela_clid,Application_date,Loan Amount,Closing_date,Schedule_funding_date,Stage,Loan_Type,Term,Rate Type,Undiscounted Rate,disbursement_1,disbursement_1_date,disbursement_2,disbursement_2_date,disbursement_3,disbursement_3_date,disbursement_4,disbursement_4_date
5001089574D01,10527359,01/01/2016,190705,06/02/2016,06/02/2016,Closed,Refi,20,Variable,4.37,,,,,,,,
5001089574D01D03,10527317,01/01/2016,190705,06/02/2016,06/02/2016,Closed,Refi,20,Variable,4.37,,,,,,,,
5000846195D01D02,10516310,01/02/2016,71443.29,05/20/2016,05/20/2016,Closed,Refi,10,Fixed,5.3,,,,,,,,
5000981550D01D02,10498386,01/02/2016,65672.15,03/15/2016,03/15/2016,Closed,Refi,10,Fixed,4.75,,,,,,,,
5001397058D01,10534536,01/04/2016,265967,06/30/2016,06/30/2016,Closed,Refi,10,Fixed,6.25,,,,,,,,
5001400150D01,10514033,01/04/2016,83961,05/18/2016,05/18/2016,Closed,Refi,7,Fixed,4.65,,,,,,,,
5001407927D01,10530386,01/04/2016,94151.11,06/14/2016,06/14/2016,Closed,Refi,10,Variable,4.89,,,,,,,,
5001407992D01,10528349,01/04/2016,104702.82,06/06/2016,06/06/2016,Closed,Refi,10,Fixed,6.25,,,,,,,,
5001408452D01,5001408452D01,01/04/2016,198317.16,09/01/2016,09/01/2016,Closed,Refi,10,Variable,4.91,,,,,,,,
5001408726D01,10503507,01/04/2016,299015,03/30/2016,03/30/2016,Closed,Refi,10,Variable,4.64,,,,,,,,
5001408727D01,10534528,01/04/2016,159115.44,06/30/2016,06/30/2016,Closed,Refi,10,Variable,4.89,,,,,,,,
5001408970D01,10526012,01/04/2016,61698,05/31/2016,05/30/2016,Closed,Refi,10,Variable,4.89,,,,,,,,
5001409080D01,10535104,01/04/2016,229749.01,07/05/2016,07/05/2016,Closed,Refi,20,Fixed,5.8,,,,,,,,
5001409521D01,,01/04/2016,224865,05/23/2016,05/23/2016,Closed,Refi,15,Fixed,6.1,,,,,,,,
5001408727D01D02,10534510,01/04/2016,159115.44,06/30/2016,06/30/2016,Closed,Refi,10,Variable,4.89,,,,,,,,
5001407560D01,10504977,01/04/2016,218912,04/05/2016,04/05/2016,Closed,Refi,10,Fixed,5.5,,,,,,,,
5001407840D01,,01/04/2016,32434,06/01/2016,06/01/2016,Closed,Refi,7,Variable,4.6,,,,,,,,
5001407920D01,10540385,01/04/2016,144155.57,07/27/2016,07/27/2016,Closed,Refi,5,Fixed,5.5,,,,,,,,
5001407956D01,,01/04/2016,29143,05/31/2016,06/01/2016,Closed,Refi,5,Fixed,5.5,,,,,,,,
